iteracao,salario_medio,preco_medio,produzidos,consumidos,contratados,demitidos,estoques,capital medio,riqueza media,media_disp_prod_trab,desemprego_percent,base_monetaria,empresas_ativas,produtividade_total,salario_improdutivo,salario_produtivo
151,2053.03,48.2028,18839,16248,383,382,182704,881927,5601.15,43.9956,0.234,2.04391e+07,20,24651,1886.79,2211.65
152,2047.51,49.2071,19126,15775,387,383,186055,880599,5654.25,45.2091,0.226,2.04391e+07,20,24651,1898.39,2218.96
153,2047.98,50.7765,19014,16207,385,387,188862,881399,5622.26,46.4246,0.23,2.04391e+07,20,24651,1880.6,2236.05
154,2054.14,51.8485,19309,14875,392,385,193296,879235,5708.8,47.5546,0.216,2.04391e+07,20,24651,1880.66,2255.19
155,2040.88,52.838,18679,13873,382,392,198102,876432,5820.95,48.5806,0.236,2.04391e+07,20,24651,1890.55,2202.94
156,2041.04,54.1888,19053,15696,387,382,201459,878469,5739.46,49.7159,0.226,2.04391e+07,20,24651,1881.14,2233.56
157,2053.16,54.245,19184,14466,387,387,206177,877772,5767.35,50.7906,0.226,2.04391e+07,20,24651,1884.31,2205.8
158,2054.71,55.5821,19055,13849,384,387,211383,876377,5823.16,51.7357,0.232,2.04391e+07,20,24651,1890.44,2217.42
159,2040.25,56.2536,19044,14950,390,384,215477,878231,5748.99,52.7617,0.22,2.04391e+07,20,24651,1883.27,2215.13
160,2057.86,57.2107,18917,14527,383,390,219867,880031,5676.98,53.7223,0.234,2.04391e+07,20,24651,1881.85,2234.69
161,2039.86,58.0249,19015,14651,388,383,224231,882507,5577.95,54.6719,0.224,2.04391e+07,20,24651,1882,2210.89
162,2040.08,58.591,18870,13774,385,388,229327,883454,5540.05,55.5448,0.23,2.04391e+07,20,24651,1890.04,2192.57
163,2047.66,59.1884,18710,12536,381,385,235501,881366,5623.6,56.2979,0.238,2.04391e+07,20,24651,1882.99,2219.98
164,2046.73,59.9702,19534,11704,393,381,243331,875730,5849.03,56.9548,0.214,2.04391e+07,20,24651,1883.32,2231.19
165,2047.89,60.3699,19086,13204,388,393,249213,875711,5849.78,57.6681,0.224,2.04391e+07,20,24651,1884.75,2207.96
166,2055.53,61.2799,18808,12575,382,388,255446,874640,5892.62,58.288,0.236,2.04391e+07,20,24651,1885.83,2213.2
167,2042.56,61.6844,18897,14456,384,382,259887,879406,5701.99,58.9907,0.232,2.04391e+07,20,24651,1896.03,2213.94
168,2053.6,61.7648,18954,11869,384,384,266972,876796,5806.39,59.5458,0.232,2.04391e+07,20,24651,1878.73,2208.22
169,2042.82,62.2769,19051,12795,386,384,273228,876786,5806.77,60.0846,0.228,2.04391e+07,20,24651,1890.97,2231.63
170,2027.33,62.9456,18734,14471,385,386,277491,882691,5570.57,60.6529,0.23,2.04391e+07,20,24651,1888.93,2192.85
171,2049.95,62.8862,19092,12267,386,385,284316,881661,5611.76,61.1295,0.228,2.04391e+07,20,24651,1881.68,2214.41
172,2047.72,63.4859,19214,12864,390,386,290666,882347,5584.35,61.5626,0.22,2.04391e+07,20,24651,1879.24,2215.16
173,2052.54,63.4874,18977,13353,385,390,296290,884867,5483.55,61.9991,0.23,2.04391e+07,20,24651,1901.14,2244.9
174,2046.44,63.9967,19156,12695,389,385,302751,885280,5467.02,62.3598,0.222,2.04391e+07,20,24651,1901.74,2206.27
175,2056.85,64.0555,19047,12965,386,389,308833,886989,5398.67,62.7095,0.228,2.04391e+07,20,24651,1888.1,2224.43
176,2049.38,64.0944,18825,10930,382,386,316728,882896,5562.4,62.9696,0.236,2.04391e+07,20,24651,1885.25,2218.58
177,2048.01,64.5173,19110,10367,387,382,325471,876493,5818.5,63.1632,0.226,2.04391e+07,20,24651,1894.65,2242.66
178,2042.14,64.5803,18912,12598,385,387,331785,877652,5772.14,63.3763,0.23,2.04391e+07,20,24651,1890.21,2220.38
179,2033.74,64.8361,18974,11874,386,385,338885,876530,5817.03,63.5361,0.228,2.04391e+07,20,24651,1903.83,2183.53
