iteracao,salario_medio,preco_medio,produzidos,consumidos,contratados,demitidos,estoques,capital medio,riqueza media,media_disp_prod_trab,desemprego_percent,base_monetaria,empresas_ativas,produtividade_total,salario_improdutivo,salario_produtivo
156,2045.28,54.4497,19003,15877,385,385,202285,857331,5539.46,50.6313,0.23,1.99164e+07,20,24796,1889.04,2223.87
157,2048.86,55.0823,19369,14380,391,385,207274,856627,5567.65,51.6809,0.218,1.99164e+07,20,24796,1899,2214.95
158,2054.98,56.2973,19161,15391,385,391,211044,859992,5433.02,52.753,0.23,1.99164e+07,20,24796,1884.07,2233.18
159,2053.59,56.9163,19217,13436,387,385,216825,858307,5500.43,53.6818,0.226,1.99164e+07,20,24796,1888.66,2224.89
160,2048.89,57.9936,19071,13359,386,387,222537,856884,5557.35,54.5484,0.228,1.99164e+07,20,24796,1893.08,2232.64
161,2044.27,58.8662,19103,12364,387,386,229276,853230,5703.53,55.3186,0.226,1.99164e+07,20,24796,1894.63,2203.92
162,2047.42,59.4225,19024,15370,381,387,232930,859306,5460.48,56.2625,0.238,1.99164e+07,20,24796,1892.58,2211.3
163,2055.84,59.66,19174,12096,384,381,240008,855533,5611.4,56.9811,0.232,1.99164e+07,20,24796,1885.65,2255.05
164,2033.12,60.7752,19205,13725,390,384,245488,857041,5551.08,57.7229,0.22,1.99164e+07,20,24796,1899.18,2195.03
165,2050.27,60.9523,19331,11653,390,390,253166,852547,5730.84,58.346,0.22,1.99164e+07,20,24796,1880.55,2220.42
166,2044.5,61.4622,19010,13463,383,390,258713,854590,5649.13,59.0057,0.234,1.99164e+07,20,24796,1882.31,2205.08
167,2046.43,61.6996,19087,12406,386,383,265394,853206,5704.48,59.5868,0.228,1.99164e+07,20,24796,1885.58,2227.44
168,2040.62,62.3612,19074,12853,386,386,271615,853732,5683.45,60.1335,0.228,1.99164e+07,20,24796,1879.84,2208.29
169,2036.37,62.6524,19189,11723,388,386,279081,850784,5801.37,60.6059,0.224,1.99164e+07,20,24796,1887.55,2213.4
170,2040.47,62.9051,18794,12879,380,388,284996,852309,5740.34,61.085,0.24,1.99164e+07,20,24796,1884.38,2221.55
171,2053.24,63.1233,19258,12467,387,380,291787,851847,5758.82,61.5132,0.226,1.99164e+07,20,24796,1867.73,2266.7
172,2027.09,63.7113,18890,13706,384,387,296971,856206,5584.49,61.9301,0.232,1.99164e+07,20,24796,1869.33,2217.11
173,2050.55,63.9631,19283,12382,388,384,303872,855856,5598.48,62.286,0.224,1.99164e+07,20,24796,1885.29,2219.2
174,2042.9,63.9894,19182,9891,387,388,313163,847757,5922.44,62.5406,0.226,1.99164e+07,20,24796,1899.54,2218.41
175,2042.14,64.1186,19277,11954,389,387,320486,846231,5983.46,62.8,0.222,1.99164e+07,20,24796,1889.42,2204.12
176,2049.14,64.1575,19017,14526,383,389,324977,853451,5694.68,63.0819,0.234,1.99164e+07,20,24796,1894.82,2208.74
177,2051.91,64.4386,19164,11034,388,383,333107,849197,5864.83,63.2567,0.224,1.99164e+07,20,24796,1892.79,2216.13
178,2039.1,64.4516,18991,13888,383,388,338210,854639,5647.15,63.4518,0.234,1.99164e+07,20,24796,1893.05,2200.93
179,2052.34,64.4161,19192,10362,387,383,347040,848274,5901.77,63.5701,0.226,1.99164e+07,20,24796,1884.12,2226.14
180,2040.54,64.2303,19374,13173,391,387,353241,850375,5817.72,63.6868,0.218,1.99164e+07,20,24796,1894.39,2225.4
181,2047.44,64.4309,19025,12955,383,391,359311,853006,5712.46,63.7538,0.234,1.99164e+07,20,24796,1882.1,2207.05
182,2047.97,64.2507,19112,12005,383,383,366418,851972,5753.83,63.8007,0.234,1.99164e+07,20,24796,1900.76,2258.35
183,2043.56,64.1662,19301,12078,389,383,373641,850981,5793.47,63.812,0.222,1.99164e+07,20,24796,1892.17,2205.9
